name,scientificName,barcode
"BrandMed_90","GenericMed_90","01-AA0-090"
"BrandMed_91","GenericMed_91","01-AA0-091"
"BrandMed_92","GenericMed_92","01-AA0-092"
"BrandMed_93","GenericMed_93","01-AA0-093"
"BrandMed_94","GenericMed_94","01-AA0-094"
"BrandMed_95","GenericMed_95","01-AA0-095"
"BrandMed_96","GenericMed_96","01-AA0-096"
"BrandMed_97","GenericMed_97","01-AA0-097"
"BrandMed_98","GenericMed_98","01-AA0-098"
"BrandMed_99","GenericMed_99","01-AA0-099"
"BrandMed_100","GenericMed_100","01-AA0-100"
"BrandMed_101","GenericMed_101","01-AA0-101"
"BrandMed_102","GenericMed_102","01-AA0-102"
"BrandMed_103","GenericMed_103","01-AA0-103"
"BrandMed_104","GenericMed_104","01-AA0-104"
"BrandMed_105","GenericMed_105","01-AA0-105"
"BrandMed_106","GenericMed_106","01-AA0-106"
"BrandMed_107","GenericMed_107","01-AA0-107"
"BrandMed_108","GenericMed_108","01-AA0-108"
"BrandMed_109","GenericMed_109","01-AA0-109"
"BrandMed_110","GenericMed_110","01-AA0-110"
"BrandMed_111","GenericMed_111","01-AA0-111"
"BrandMed_112","GenericMed_112","01-AA0-112"
"BrandMed_113","GenericMed_113","01-AA0-113"
"BrandMed_114","GenericMed_114","01-AA0-114"
"BrandMed_115","GenericMed_115","01-AA0-115"
"BrandMed_116","GenericMed_116","01-AA0-116"
"BrandMed_117","GenericMed_117","01-AA0-117"
"BrandMed_118","GenericMed_118","01-AA0-118"
"BrandMed_119","GenericMed_119","01-AA0-119"
"BrandMed_120","GenericMed_120","01-AA0-120"
"BrandMed_121","GenericMed_121","01-AA0-121"
"BrandMed_122","GenericMed_122","01-AA0-122"
"BrandMed_123","GenericMed_123","01-AA0-123"
"BrandMed_124","GenericMed_124","01-AA0-124"
"BrandMed_125","GenericMed_125","01-AA0-125"
"BrandMed_126","GenericMed_126","01-AA0-126"
"BrandMed_127","GenericMed_127","01-AA0-127"
"BrandMed_128","GenericMed_128","01-AA0-128"
"BrandMed_129","GenericMed_129","01-AA0-129"
"BrandMed_130","GenericMed_130","01-AA0-130"
"BrandMed_131","GenericMed_131","01-AA0-131"
"BrandMed_132","GenericMed_132","01-AA0-132"
"BrandMed_133","GenericMed_133","01-AA0-133"
"BrandMed_134","GenericMed_134","01-AA0-134"
"BrandMed_135","GenericMed_135","01-AA0-135"
"BrandMed_136","GenericMed_136","01-AA0-136"
"BrandMed_137","GenericMed_137","01-AA0-137"
"BrandMed_138","GenericMed_138","01-AA0-138"
"BrandMed_139","GenericMed_139","01-AA0-139"
"BrandMed_140","GenericMed_140","01-AA0-140"
"BrandMed_141","GenericMed_141","01-AA0-141"
"BrandMed_142","GenericMed_142","01-AA0-142"
"BrandMed_143","GenericMed_143","01-AA0-143"
"BrandMed_144","GenericMed_144","01-AA0-144"
"BrandMed_145","GenericMed_145","01-AA0-145"
"BrandMed_146","GenericMed_146","01-AA0-146"
"BrandMed_147","GenericMed_147","01-AA0-147"
"BrandMed_148","GenericMed_148","01-AA0-148"
"BrandMed_149","GenericMed_149","01-AA0-149"
"BrandMed_150","GenericMed_150","01-AA0-150"
"BrandMed_151","GenericMed_151","01-AA0-151"
"BrandMed_152","GenericMed_152","01-AA0-152"
"BrandMed_153","GenericMed_153","01-AA0-153"
"BrandMed_154","GenericMed_154","01-AA0-154"
"BrandMed_155","GenericMed_155","01-AA0-155"
"BrandMed_156","GenericMed_156","01-AA0-156"
"BrandMed_157","GenericMed_157","01-AA0-157"
"BrandMed_158","GenericMed_158","01-AA0-158"
"BrandMed_159","GenericMed_159","01-AA0-159"
"BrandMed_160","GenericMed_160","01-AA0-160"
"BrandMed_161","GenericMed_161","01-AA0-161"
"BrandMed_162","GenericMed_162","01-AA0-162"
"BrandMed_163","GenericMed_163","01-AA0-163"
"BrandMed_164","GenericMed_164","01-AA0-164"
"BrandMed_165","GenericMed_165","01-AA0-165"
"BrandMed_166","GenericMed_166","01-AA0-166"
"BrandMed_167","GenericMed_167","01-AA0-167"
"BrandMed_168","GenericMed_168","01-AA0-168"
"BrandMed_169","GenericMed_169","01-AA0-169"
"BrandMed_170","GenericMed_170","01-AA0-170"
"BrandMed_171","GenericMed_171","01-AA0-171"
"BrandMed_172","GenericMed_172","01-AA0-172"
"BrandMed_173","GenericMed_173","01-AA0-173"
"BrandMed_174","GenericMed_174","01-AA0-174"
"BrandMed_175","GenericMed_175","01-AA0-175"
"BrandMed_176","GenericMed_176","01-AA0-176"
"BrandMed_177","GenericMed_177","01-AA0-177"
"BrandMed_178","GenericMed_178","01-AA0-178"
"BrandMed_179","GenericMed_179","01-AA0-179"
"BrandMed_180","GenericMed_180","01-AA0-180"
"BrandMed_181","GenericMed_181","01-AA0-181"
"BrandMed_182","GenericMed_182","01-AA0-182"
"BrandMed_183","GenericMed_183","01-AA0-183"
"BrandMed_184","GenericMed_184","01-AA0-184"
"BrandMed_185","GenericMed_185","01-AA0-185"
"BrandMed_186","GenericMed_186","01-AA0-186"
"BrandMed_187","GenericMed_187","01-AA0-187"
"BrandMed_188","GenericMed_188","01-AA0-188"
"BrandMed_189","GenericMed_189","01-AA0-189"
"BrandMed_190","GenericMed_190","01-AA0-190"
"BrandMed_191","GenericMed_191","01-AA0-191"
"BrandMed_192","GenericMed_192","01-AA0-192"
"BrandMed_193","GenericMed_193","01-AA0-193"
"BrandMed_194","GenericMed_194","01-AA0-194"
"BrandMed_195","GenericMed_195","01-AA0-195"
"BrandMed_196","GenericMed_196","01-AA0-196"
"BrandMed_197","GenericMed_197","01-AA0-197"
"BrandMed_198","GenericMed_198","01-AA0-198"
"BrandMed_199","GenericMed_199","01-AA0-199"
"BrandMed_200","GenericMed_200","01-AA0-200"
"BrandMed_201","GenericMed_201","01-AA0-201"
"BrandMed_202","GenericMed_202","01-AA0-202"
"BrandMed_203","GenericMed_203","01-AA0-203"
"BrandMed_204","GenericMed_204","01-AA0-204"
"BrandMed_205","GenericMed_205","01-AA0-205"
"BrandMed_206","GenericMed_206","01-AA0-206"
"BrandMed_207","GenericMed_207","01-AA0-207"
"BrandMed_208","GenericMed_208","01-AA0-208"
"BrandMed_209","GenericMed_209","01-AA0-209"
"BrandMed_210","GenericMed_210","01-AA0-210"
"BrandMed_211","GenericMed_211","01-AA0-211"
"BrandMed_212","GenericMed_212","01-AA0-212"
"BrandMed_213","GenericMed_213","01-AA0-213"
"BrandMed_214","GenericMed_214","01-AA0-214"
"BrandMed_215","GenericMed_215","01-AA0-215"
"BrandMed_216","GenericMed_216","01-AA0-216"
"BrandMed_217","GenericMed_217","01-AA0-217"
"BrandMed_218","GenericMed_218","01-AA0-218"
"BrandMed_219","GenericMed_219","01-AA0-219"
"BrandMed_220","GenericMed_220","01-AA0-220"
"BrandMed_221","GenericMed_221","01-AA0-221"
"BrandMed_222","GenericMed_222","01-AA0-222"
"BrandMed_223","GenericMed_223","01-AA0-223"
"BrandMed_224","GenericMed_224","01-AA0-224"
"BrandMed_225","GenericMed_225","01-AA0-225"
"BrandMed_226","GenericMed_226","01-AA0-226"
"BrandMed_227","GenericMed_227","01-AA0-227"
"BrandMed_228","GenericMed_228","01-AA0-228"
"BrandMed_229","GenericMed_229","01-AA0-229"
"BrandMed_230","GenericMed_230","01-AA0-230"
"BrandMed_231","GenericMed_231","01-AA0-231"
"BrandMed_232","GenericMed_232","01-AA0-232"
"BrandMed_233","GenericMed_233","01-AA0-233"
"BrandMed_234","GenericMed_234","01-AA0-234"
"BrandMed_235","GenericMed_235","01-AA0-235"
"BrandMed_236","GenericMed_236","01-AA0-236"
"BrandMed_237","GenericMed_237","01-AA0-237"
"BrandMed_238","GenericMed_238","01-AA0-238"
"BrandMed_239","GenericMed_239","01-AA0-239"
"BrandMed_240","GenericMed_240","01-AA0-240"
"BrandMed_241","GenericMed_241","01-AA0-241"
"BrandMed_242","GenericMed_242","01-AA0-242"
"BrandMed_243","GenericMed_243","01-AA0-243"
"BrandMed_244","GenericMed_244","01-AA0-244"
"BrandMed_245","GenericMed_245","01-AA0-245"
"BrandMed_246","GenericMed_246","01-AA0-246"
"BrandMed_247","GenericMed_247","01-AA0-247"
"BrandMed_248","GenericMed_248","01-AA0-248"
"BrandMed_249","GenericMed_249","01-AA0-249"
"BrandMed_250","GenericMed_250","01-AA0-250"
"BrandMed_251","GenericMed_251","01-AA0-251"
"BrandMed_252","GenericMed_252","01-AA0-252"
"BrandMed_253","GenericMed_253","01-AA0-253"
"BrandMed_254","GenericMed_254","01-AA0-254"
"BrandMed_255","GenericMed_255","01-AA0-255"
"BrandMed_256","GenericMed_256","01-AA0-256"
"BrandMed_257","GenericMed_257","01-AA0-257"
"BrandMed_258","GenericMed_258","01-AA0-258"
"BrandMed_259","GenericMed_259","01-AA0-259"
"BrandMed_260","GenericMed_260","01-AA0-260"
"BrandMed_261","GenericMed_261","01-AA0-261"
"BrandMed_262","GenericMed_262","01-AA0-262"
"BrandMed_263","GenericMed_263","01-AA0-263"
"BrandMed_264","GenericMed_264","01-AA0-264"
"BrandMed_265","GenericMed_265","01-AA0-265"
"BrandMed_266","GenericMed_266","01-AA0-266"
"BrandMed_267","GenericMed_267","01-AA0-267"
"BrandMed_268","GenericMed_268","01-AA0-268"
"BrandMed_269","GenericMed_269","01-AA0-269"
"BrandMed_270","GenericMed_270","01-AA0-270"
"BrandMed_271","GenericMed_271","01-AA0-271"
"BrandMed_272","GenericMed_272","01-AA0-272"
"BrandMed_273","GenericMed_273","01-AA0-273"
"BrandMed_274","GenericMed_274","01-AA0-274"
"BrandMed_275","GenericMed_275","01-AA0-275"
"BrandMed_276","GenericMed_276","01-AA0-276"
"BrandMed_277","GenericMed_277","01-AA0-277"
"BrandMed_278","GenericMed_278","01-AA0-278"
"BrandMed_279","GenericMed_279","01-AA0-279"
"BrandMed_280","GenericMed_280","01-AA0-280"
"BrandMed_281","GenericMed_281","01-AA0-281"
"BrandMed_282","GenericMed_282","01-AA0-282"
"BrandMed_283","GenericMed_283","01-AA0-283"
"BrandMed_284","GenericMed_284","01-AA0-284"
"BrandMed_285","GenericMed_285","01-AA0-285"
"BrandMed_286","GenericMed_286","01-AA0-286"
"BrandMed_287","GenericMed_287","01-AA0-287"
"BrandMed_288","GenericMed_288","01-AA0-288"
"BrandMed_289","GenericMed_289","01-AA0-289"
"BrandMed_290","GenericMed_290","01-AA0-290"
"BrandMed_291","GenericMed_291","01-AA0-291"
"BrandMed_292","GenericMed_292","01-AA0-292"
"BrandMed_293","GenericMed_293","01-AA0-293"
"BrandMed_294","GenericMed_294","01-AA0-294"
"BrandMed_295","GenericMed_295","01-AA0-295"
"BrandMed_296","GenericMed_296","01-AA0-296"
"BrandMed_297","GenericMed_297","01-AA0-297"
"BrandMed_298","GenericMed_298","01-AA0-298"
"BrandMed_299","GenericMed_299","01-AA0-299"
"BrandMed_300","GenericMed_300","01-AA0-300"
"BrandMed_301","GenericMed_301","01-AA0-301"
"BrandMed_302","GenericMed_302","01-AA0-302"
"BrandMed_303","GenericMed_303","01-AA0-303"
"BrandMed_304","GenericMed_304","01-AA0-304"
"BrandMed_305","GenericMed_305","01-AA0-305"
"BrandMed_306","GenericMed_306","01-AA0-306"
"BrandMed_307","GenericMed_307","01-AA0-307"
"BrandMed_308","GenericMed_308","01-AA0-308"
"BrandMed_309","GenericMed_309","01-AA0-309"
"BrandMed_310","GenericMed_310","01-AA0-310"
"BrandMed_311","GenericMed_311","01-AA0-311"
"BrandMed_312","GenericMed_312","01-AA0-312"
"BrandMed_313","GenericMed_313","01-AA0-313"
"BrandMed_314","GenericMed_314","01-AA0-314"
"BrandMed_315","GenericMed_315","01-AA0-315"
"BrandMed_316","GenericMed_316","01-AA0-316"
"BrandMed_317","GenericMed_317","01-AA0-317"
"BrandMed_318","GenericMed_318","01-AA0-318"
"BrandMed_319","GenericMed_319","01-AA0-319"
"BrandMed_320","GenericMed_320","01-AA0-320"
"BrandMed_321","GenericMed_321","01-AA0-321"
"BrandMed_322","GenericMed_322","01-AA0-322"
"BrandMed_323","GenericMed_323","01-AA0-323"
"BrandMed_324","GenericMed_324","01-AA0-324"
"BrandMed_325","GenericMed_325","01-AA0-325"
"BrandMed_326","GenericMed_326","01-AA0-326"
"BrandMed_327","GenericMed_327","01-AA0-327"
"BrandMed_328","GenericMed_328","01-AA0-328"
"BrandMed_329","GenericMed_329","01-AA0-329"
"BrandMed_330","GenericMed_330","01-AA0-330"
"BrandMed_331","GenericMed_331","01-AA0-331"
"BrandMed_332","GenericMed_332","01-AA0-332"
"BrandMed_333","GenericMed_333","01-AA0-333"
"BrandMed_334","GenericMed_334","01-AA0-334"
"BrandMed_335","GenericMed_335","01-AA0-335"
"BrandMed_336","GenericMed_336","01-AA0-336"
"BrandMed_337","GenericMed_337","01-AA0-337"
"BrandMed_338","GenericMed_338","01-AA0-338"
"BrandMed_339","GenericMed_339","01-AA0-339"
"BrandMed_340","GenericMed_340","01-AA0-340"
"BrandMed_341","GenericMed_341","01-AA0-341"
"BrandMed_342","GenericMed_342","01-AA0-342"
"BrandMed_343","GenericMed_343","01-AA0-343"
"BrandMed_344","GenericMed_344","01-AA0-344"
"BrandMed_345","GenericMed_345","01-AA0-345"
"BrandMed_346","GenericMed_346","01-AA0-346"
"BrandMed_347","GenericMed_347","01-AA0-347"
"BrandMed_348","GenericMed_348","01-AA0-348"
"BrandMed_349","GenericMed_349","01-AA0-349"
"BrandMed_350","GenericMed_350","01-AA0-350"
"BrandMed_351","GenericMed_351","01-AA0-351"
"BrandMed_352","GenericMed_352","01-AA0-352"
"BrandMed_353","GenericMed_353","01-AA0-353"
"BrandMed_354","GenericMed_354","01-AA0-354"
"BrandMed_355","GenericMed_355","01-AA0-355"
"BrandMed_356","GenericMed_356","01-AA0-356"
"BrandMed_357","GenericMed_357","01-AA0-357"
"BrandMed_358","GenericMed_358","01-AA0-358"
"BrandMed_359","GenericMed_359","01-AA0-359"
"BrandMed_360","GenericMed_360","01-AA0-360"
"BrandMed_361","GenericMed_361","01-AA0-361"
"BrandMed_362","GenericMed_362","01-AA0-362"
"BrandMed_363","GenericMed_363","01-AA0-363"
"BrandMed_364","GenericMed_364","01-AA0-364"
"BrandMed_365","GenericMed_365","01-AA0-365"
"BrandMed_366","GenericMed_366","01-AA0-366"
"BrandMed_367","GenericMed_367","01-AA0-367"
"BrandMed_368","GenericMed_368","01-AA0-368"
"BrandMed_369","GenericMed_369","01-AA0-369"
"BrandMed_370","GenericMed_370","01-AA0-370"
"BrandMed_371","GenericMed_371","01-AA0-371"
"BrandMed_372","GenericMed_372","01-AA0-372"
"BrandMed_373","GenericMed_373","01-AA0-373"
"BrandMed_374","GenericMed_374","01-AA0-374"
"BrandMed_375","GenericMed_375","01-AA0-375"
"BrandMed_376","GenericMed_376","01-AA0-376"
"BrandMed_377","GenericMed_377","01-AA0-377"
"BrandMed_378","GenericMed_378","01-AA0-378"
"BrandMed_379","GenericMed_379","01-AA0-379"
"BrandMed_380","GenericMed_380","01-AA0-380"
"BrandMed_381","GenericMed_381","01-AA0-381"
"BrandMed_382","GenericMed_382","01-AA0-382"
"BrandMed_383","GenericMed_383","01-AA0-383"
"BrandMed_384","GenericMed_384","01-AA0-384"
"BrandMed_385","GenericMed_385","01-AA0-385"
"BrandMed_386","GenericMed_386","01-AA0-386"
"BrandMed_387","GenericMed_387","01-AA0-387"
"BrandMed_388","GenericMed_388","01-AA0-388"
"BrandMed_389","GenericMed_389","01-AA0-389"
"BrandMed_390","GenericMed_390","01-AA0-390"
"BrandMed_391","GenericMed_391","01-AA0-391"
"BrandMed_392","GenericMed_392","01-AA0-392"
"BrandMed_393","GenericMed_393","01-AA0-393"
"BrandMed_394","GenericMed_394","01-AA0-394"
"BrandMed_395","GenericMed_395","01-AA0-395"
"BrandMed_396","GenericMed_396","01-AA0-396"
"BrandMed_397","GenericMed_397","01-AA0-397"
"BrandMed_398","GenericMed_398","01-AA0-398"
"BrandMed_399","GenericMed_399","01-AA0-399"
"BrandMed_400","GenericMed_400","01-AA0-400"
"BrandMed_401","GenericMed_401","01-AA0-401"
"BrandMed_402","GenericMed_402","01-AA0-402"
"BrandMed_403","GenericMed_403","01-AA0-403"
"BrandMed_404","GenericMed_404","01-AA0-404"
"BrandMed_405","GenericMed_405","01-AA0-405"
"BrandMed_406","GenericMed_406","01-AA0-406"
"BrandMed_407","GenericMed_407","01-AA0-407"
"BrandMed_408","GenericMed_408","01-AA0-408"
"BrandMed_409","GenericMed_409","01-AA0-409"
"BrandMed_410","GenericMed_410","01-AA0-410"
"BrandMed_411","GenericMed_411","01-AA0-411"
"BrandMed_412","GenericMed_412","01-AA0-412"
"BrandMed_413","GenericMed_413","01-AA0-413"
"BrandMed_414","GenericMed_414","01-AA0-414"
"BrandMed_415","GenericMed_415","01-AA0-415"
"BrandMed_416","GenericMed_416","01-AA0-416"
"BrandMed_417","GenericMed_417","01-AA0-417"
"BrandMed_418","GenericMed_418","01-AA0-418"
"BrandMed_419","GenericMed_419","01-AA0-419"
"BrandMed_420","GenericMed_420","01-AA0-420"
"BrandMed_421","GenericMed_421","01-AA0-421"
"BrandMed_422","GenericMed_422","01-AA0-422"
"BrandMed_423","GenericMed_423","01-AA0-423"
"BrandMed_424","GenericMed_424","01-AA0-424"
"BrandMed_425","GenericMed_425","01-AA0-425"
"BrandMed_426","GenericMed_426","01-AA0-426"
"BrandMed_427","GenericMed_427","01-AA0-427"
"BrandMed_428","GenericMed_428","01-AA0-428"
"BrandMed_429","GenericMed_429","01-AA0-429"
"BrandMed_430","GenericMed_430","01-AA0-430"
"BrandMed_431","GenericMed_431","01-AA0-431"
"BrandMed_432","GenericMed_432","01-AA0-432"
"BrandMed_433","GenericMed_433","01-AA0-433"
"BrandMed_434","GenericMed_434","01-AA0-434"
"BrandMed_435","GenericMed_435","01-AA0-435"
"BrandMed_436","GenericMed_436","01-AA0-436"
"BrandMed_437","GenericMed_437","01-AA0-437"
"BrandMed_438","GenericMed_438","01-AA0-438"
"BrandMed_439","GenericMed_439","01-AA0-439"
"BrandMed_440","GenericMed_440","01-AA0-440"
"BrandMed_441","GenericMed_441","01-AA0-441"
"BrandMed_442","GenericMed_442","01-AA0-442"
"BrandMed_443","GenericMed_443","01-AA0-443"
"BrandMed_444","GenericMed_444","01-AA0-444"
"BrandMed_445","GenericMed_445","01-AA0-445"
"BrandMed_446","GenericMed_446","01-AA0-446"
"BrandMed_447","GenericMed_447","01-AA0-447"
"BrandMed_448","GenericMed_448","01-AA0-448"
"BrandMed_449","GenericMed_449","01-AA0-449"
"BrandMed_450","GenericMed_450","01-AA0-450"
"BrandMed_451","GenericMed_451","01-AA0-451"
"BrandMed_452","GenericMed_452","01-AA0-452"
"BrandMed_453","GenericMed_453","01-AA0-453"
"BrandMed_454","GenericMed_454","01-AA0-454"
"BrandMed_455","GenericMed_455","01-AA0-455"
"BrandMed_456","GenericMed_456","01-AA0-456"
"BrandMed_457","GenericMed_457","01-AA0-457"
"BrandMed_458","GenericMed_458","01-AA0-458"
"BrandMed_459","GenericMed_459","01-AA0-459"
"BrandMed_460","GenericMed_460","01-AA0-460"
"BrandMed_461","GenericMed_461","01-AA0-461"
"BrandMed_462","GenericMed_462","01-AA0-462"
"BrandMed_463","GenericMed_463","01-AA0-463"
"BrandMed_464","GenericMed_464","01-AA0-464"
"BrandMed_465","GenericMed_465","01-AA0-465"
"BrandMed_466","GenericMed_466","01-AA0-466"
"BrandMed_467","GenericMed_467","01-AA0-467"
"BrandMed_468","GenericMed_468","01-AA0-468"
"BrandMed_469","GenericMed_469","01-AA0-469"
"BrandMed_470","GenericMed_470","01-AA0-470"
"BrandMed_471","GenericMed_471","01-AA0-471"
"BrandMed_472","GenericMed_472","01-AA0-472"
"BrandMed_473","GenericMed_473","01-AA0-473"
"BrandMed_474","GenericMed_474","01-AA0-474"
"BrandMed_475","GenericMed_475","01-AA0-475"
"BrandMed_476","GenericMed_476","01-AA0-476"
"BrandMed_477","GenericMed_477","01-AA0-477"
"BrandMed_478","GenericMed_478","01-AA0-478"
"BrandMed_479","GenericMed_479","01-AA0-479"
"BrandMed_480","GenericMed_480","01-AA0-480"
"BrandMed_481","GenericMed_481","01-AA0-481"
"BrandMed_482","GenericMed_482","01-AA0-482"
"BrandMed_483","GenericMed_483","01-AA0-483"
"BrandMed_484","GenericMed_484","01-AA0-484"
"BrandMed_485","GenericMed_485","01-AA0-485"
"BrandMed_486","GenericMed_486","01-AA0-486"
"BrandMed_487","GenericMed_487","01-AA0-487"
"BrandMed_488","GenericMed_488","01-AA0-488"
"BrandMed_489","GenericMed_489","01-AA0-489"
"BrandMed_490","GenericMed_490","01-AA0-490"
"BrandMed_491","GenericMed_491","01-AA0-491"
"BrandMed_492","GenericMed_492","01-AA0-492"
"BrandMed_493","GenericMed_493","01-AA0-493"
"BrandMed_494","GenericMed_494","01-AA0-494"
"BrandMed_495","GenericMed_495","01-AA0-495"
"BrandMed_496","GenericMed_496","01-AA0-496"
"BrandMed_497","GenericMed_497","01-AA0-497"
"BrandMed_498","GenericMed_498","01-AA0-498"
"BrandMed_499","GenericMed_499","01-AA0-499"
"BrandMed_500","GenericMed_500","01-AA0-500"
"BrandMed_501","GenericMed_501","01-AA0-501"
"BrandMed_502","GenericMed_502","01-AA0-502"
"BrandMed_503","GenericMed_503","01-AA0-503"
"BrandMed_504","GenericMed_504","01-AA0-504"
"BrandMed_505","GenericMed_505","01-AA0-505"
"BrandMed_506","GenericMed_506","01-AA0-506"
"BrandMed_507","GenericMed_507","01-AA0-507"
"BrandMed_508","GenericMed_508","01-AA0-508"
"BrandMed_509","GenericMed_509","01-AA0-509"
"BrandMed_510","GenericMed_510","01-AA0-510"
"BrandMed_511","GenericMed_511","01-AA0-511"
"BrandMed_512","GenericMed_512","01-AA0-512"
"BrandMed_513","GenericMed_513","01-AA0-513"
"BrandMed_514","GenericMed_514","01-AA0-514"
"BrandMed_515","GenericMed_515","01-AA0-515"
"BrandMed_516","GenericMed_516","01-AA0-516"
"BrandMed_517","GenericMed_517","01-AA0-517"
"BrandMed_518","GenericMed_518","01-AA0-518"
"BrandMed_519","GenericMed_519","01-AA0-519"
"BrandMed_520","GenericMed_520","01-AA0-520"
"BrandMed_521","GenericMed_521","01-AA0-521"
"BrandMed_522","GenericMed_522","01-AA0-522"
"BrandMed_523","GenericMed_523","01-AA0-523"
"BrandMed_524","GenericMed_524","01-AA0-524"
"BrandMed_525","GenericMed_525","01-AA0-525"
"BrandMed_526","GenericMed_526","01-AA0-526"
"BrandMed_527","GenericMed_527","01-AA0-527"
"BrandMed_528","GenericMed_528","01-AA0-528"
"BrandMed_529","GenericMed_529","01-AA0-529"
"BrandMed_530","GenericMed_530","01-AA0-530"
"BrandMed_531","GenericMed_531","01-AA0-531"
"BrandMed_532","GenericMed_532","01-AA0-532"
"BrandMed_533","GenericMed_533","01-AA0-533"
"BrandMed_534","GenericMed_534","01-AA0-534"
"BrandMed_535","GenericMed_535","01-AA0-535"
"BrandMed_536","GenericMed_536","01-AA0-536"
"BrandMed_537","GenericMed_537","01-AA0-537"
"BrandMed_538","GenericMed_538","01-AA0-538"
